2009-09,2010-03,2012-01,2012-11,2014-04,2009-06,2009-08,2010-06,2010-08,2010-10,2011-06,2011-07,2011-10,2012-03,2012-07,2012-09,2013-05,2013-09,2009-11,2011-03,2011-11,2011-12,2013-01,2013-12,2014-05,2009-07,2009-12,2010-01,2010-05,2010-07,2010-11,2010-12,2011-01,2011-09,2013-04,2013-06,2013-07,2014-07,2009-02,2009-03,2009-10,2010-04,2011-02,2011-04,2012-08,2012-12,2013-03,2014-01,2014-06,2010-09,2011-05,2012-04,2012-10,2013-08,2013-10,2013-11,2014-03,2009-05,2012-06,2011-08,2012-05,2012-02,2013-02,2014-02,2010-02,2009-04,2009-01,plz,lat,lon
18.32,8.3,,69.76,13.38,16.2,12.84,95.46,,,40.6,,70.61,76.55,4.08,,29.32,4.0,5.06,25.38,14.73,27.65,,6.9,12.25,44.46,17.6,,25.96,79.86,,16.65,5.62,16.5,7.35,34.5,22.82,8.64,,,19.48,29.67,,12.21,,6.27,22.6,,3.0,19.43,56.95,3.87,21.35,7.65,12.5,,,,80.99,11.6,5.46,5.7,,7.15,6.93,,,52159,6.183,50.658
,34.65,60.72,,,,99.9,36.0,,41.0,14.4,13.75,,29.84,,,,,19.42,,,,,10.4,,,29.64,6.67,,9.66,,,,9.05,,,,,,,19.6,,,,20.64,,,,,10.26,,,,,9.6,,,,,,,,,,,,,54616,6.21,50.214
23.21,17.38,,49.58,59.25,10.08,76.64,188.92,7.03,6.9,140.51,13.71,36.74,471.64,9.07,108.75,63.78,11.18,24.76,39.02,135.05,133.22,110.34,4.41,18.98,21.11,152.84,55.0,38.82,42.12,10.81,7.02,,58.04,19.79,108.58,25.44,246.66,,9.24,32.94,44.08,87.04,37.72,13.02,21.69,16.08,132.75,15.3,10.58,79.28,62.01,38.15,33.08,9.94,17.15,20.7,22.99,89.86,8.33,9.75,19.95,35.86,,,11.16,,52156,6.209,50.563
4.68,6.12,19.95,,119.6,,29.56,36.98,10.08,22.74,8.5,74.84,17.16,32.43,,648.0,4.8,13.94,,,6.29,6539.12,15.03,,,6.59,17.25,5.6,,,29.6,129.36,14.06,17.14,17.12,,,28.32,,7.02,,7.56,5.18,22.41,,48.24,,28.5,17.45,5.0,,8.38,,30.9,2.87,,8.48,,71.98,25.76,4.44,10.68,,,8.8,7.74,7.92,52222,6.215,50.784
,18.72,13.8,6.58,3.9,,36.04,13.01,,,49.72,5.17,2.16,34.64,61.18,9.12,36.76,5.1,65.43,7.1,21.18,13.27,5.39,,4.68,7.2,54.78,,7.38,,15.94,9.62,,14.3,13.65,4.9,17.25,5.3,11.25,7.0,99.0,5.52,,6.08,,5.75,,,5.5,30.65,3.33,118.6,29.24,,12.75,10.8,4.59,,13.55,27.31,,,40.02,,,,6.02,52223,6.218,50.746
1.8,31.18,62.54,74.9,16.75,21.41,,367.6,208.78,12.62,162.48,51.98,83.62,116.55,165.29,31.22,17.7,7.44,6.0,4.7,131.5,206.73,41.74,12.26,3.06,18.72,286.0,12.24,30.79,133.14,16.59,73.01,263.33,109.81,47.73,43.88,43.58,58.35,7.92,10.58,1003.48,72.06,,31.16,24.48,14.36,25.58,14.3,13.01,144.05,89.88,34.78,61.99,47.86,44.28,31.31,22.15,6.75,94.18,40.5,,22.01,29.65,14.02,11.68,6.48,,52249,6.27,50.828
223.81,6.48,50.0,69.02,6.0,50.35,19.0,2386.08,47.52,60.07,30.54,6.2,47.89,732.74,,13.6,14.58,7.35,97.2,6.29,136.18,664.37,17.87,3.0,4.85,6.66,434.56,,120.48,143.38,179.34,209.58,,152.82,16.64,94.75,9.0,17.6,3.5,,108.86,173.09,,18.5,,159.0,36.4,183.03,,132.92,49.34,109.65,31.96,126.67,9.8,,5.25,15.44,197.34,52.45,15.88,503.79,34.87,9.82,29.52,49.24,,47623,6.232,51.579
89.81,12.6,24.44,42.23,44.09,3.78,138.06,358.89,,53.94,115.28,92.68,112.1,193.08,55.92,13.31,110.57,3.78,208.58,4.68,40.39,128.71,48.68,,4.9,83.58,244.82,39.24,36.18,9.72,,141.36,15.91,462.03,17.1,13.26,27.57,54.9,,,10.64,8.05,4.44,16.84,10.07,22.3,,,,158.37,113.48,74.03,233.96,23.14,,,53.23,,272.42,111.24,159.76,45.92,,,27.14,17.55,,52441,6.282,50.976
,16.9,243.71,39.12,25.18,4.38,14.76,180.92,10.08,9.99,8.55,58.94,39.51,417.13,562.42,12.74,1.88,12.5,121.01,28.06,31.98,106.22,8.08,29.64,4.68,31.66,100.23,2.88,37.1,13.59,21.71,56.46,,30.98,28.78,24.02,,4.2,,,15.96,50.9,69.66,111.34,16.97,9.2,,,7.8,17.14,62.4,25.62,72.92,23.58,,17.37,14.25,11.04,8.3,18.87,,,17.15,,6.63,5.94,,52457,6.261,50.898
143.08,264.63,31.34,170.59,46.72,115.64,80.39,1348.83,1075.57,267.66,1219.38,388.15,161.84,2398.04,258.68,293.77,197.09,167.98,270.89,125.5,497.24,2301.87,173.81,23.8,70.25,143.58,1543.44,37.84,805.68,842.68,302.34,795.35,243.84,356.04,59.63,239.13,179.78,461.01,,40.02,210.51,629.15,4.44,99.4,102.68,18.57,51.84,12.0,55.36,185.38,356.29,526.12,294.19,15.27,49.22,17.43,17.9,134.26,785.92,139.97,116.09,235.78,56.23,39.52,775.96,,,47608,6.311,51.518
