2009-9,2010-3,2012-1,2012-11,2014-4,2009-6,2009-8,2010-6,2010-8,2010-10,2011-6,2011-7,2011-10,2012-3,2012-7,2012-9,2013-5,2013-9,2009-11,2011-3,2011-11,2011-12,2013-1,2013-12,2014-5,2009-7,2009-12,2010-1,2010-5,2010-7,2010-11,2010-12,2011-1,2011-9,2013-4,2013-6,2013-7,2014-7,2009-2,2009-3,2009-10,2010-4,2011-2,2011-4,2012-8,2012-12,2013-3,2014-1,2014-6,2010-9,2011-5,2012-4,2012-10,2013-8,2013-10,2013-11,2014-3,2009-5,2012-6,2011-8,2012-5,2012-2,2013-2,2014-2,2010-2,2009-4,2009-1,plz,lat,lon
196.69000000000003,279.5399999999999,26.86,64.345,20.738,78.75999999999999,341.67999999999995,1282.98,85.275,144.74000000000004,485.07,214.42000000000002,936.781,1387.8469999999998,25.2,127.76499999999999,99.905,26.055,858.6800000000001,60.85,370.88599999999997,1528.642,68.65,34.239999999999995,156.99599999999998,311.16999999999996,852.11,161.59,722.755,175.05,102.12000000000002,331.31,90.38,181.64999999999998,74.02,74.07,147.89,12.1,10.34,21.72,383.425,387.12,8.215,62.22999999999999,67.78,43.77499999999999,97.08500000000001,24.22,123.77000000000001,817.6649999999998,261.94599999999997,3.6,123.38000000000001,71.17,40.378,65.712,25.665000000000003,46.385000000000005,451.09999999999997,121.69999999999999,118.8,54.18000000000001,99.765,9.25,161.62499999999997,24.17,14.29,41334,6.25,51.316
49.86,47.08,233.96,27.700000000000003,,,57.01,671.1900000000002,45.64,83.51,99.37,142.63,,384.27000000000004,55.0,18.72,,,381.68999999999994,,152.145,163.405,,21.25,,36.8,280.065,197.74,209.64000000000001,39.475,2.88,35.0,361.89,42.93,11.5,,66.515,,,,241.86,54.94,7.75,47.92,,21.45,,82.56,,37.89,92.96,5.76,21.57,,,7.65,,,8.8,48.14,29.9,13.0,41.879999999999995,,,12.3,,54673,6.26,50.016
,59.87,67.8,,5.2,47.4,,622.3100000000001,224.34,64.175,133.14,63.85,17.895,184.175,36.019999999999996,11.1,29.44,,162.77999999999997,,105.99000000000001,323.43,46.169999999999995,,,17.1,396.05000000000007,48.81,72.28999999999999,361.33000000000004,,69.43,,37.21,59.39,43.29,160.56,,,,159.10000000000002,149.51000000000002,,18.36,,,41.879999999999995,,,64.68,,146.44,18.2,6.24,145.32,19.0,,11.88,12.0,378.84,28.8,,,,,,,54619,6.236,50.134
53.72,87.75500000000001,28.31,7.41,,12.899999999999999,,420.30499999999995,6.84,105.616,58.125,10.14,9.69,162.07500000000002,,,31.265,,31.86,,84.745,589.095,25.0,6.86,,51.795,46.379999999999995,,617.54,,56.875,49.8,,,5.64,57.0,,,,,9.44,47.84,,,9.88,6.58,,,,,,,139.58,9.31,9.12,,,,193.92,,,,15.0,,,20.52,,47624,6.199,51.551
18.32,8.3,,69.765,13.375,16.2,12.84,95.46000000000001,,,40.595,,70.61000000000001,76.55499999999999,4.085,,29.325,4.0,5.06,25.38,14.729999999999999,27.65,,6.9,12.25,44.459999999999994,17.6,,25.96,79.86,,16.65,5.625,16.5,7.35,34.5,22.82,8.64,,,19.48,29.67,,12.212,,6.27,22.605,,3.0,19.43,56.95,3.87,21.35,7.65,12.5,,,,80.99000000000001,11.600000000000001,5.46,5.7,,7.15,6.93,,,52159,6.183,50.658
,34.645,60.72,,,,99.9,36.0,,41.0,14.4,13.75,,29.845,,,,,19.42,,,,,10.4,,,29.64,6.67,,9.66,,,,9.05,,,,,,,19.6,,,,20.64,,,,,10.26,,,,,9.6,,,,,,,,,,,,,54616,6.21,50.214
23.21,17.38,,49.581,59.25,10.08,76.64,188.916,7.03,6.9,140.51000000000002,13.71,36.74,471.645,9.07,108.75,63.779999999999994,11.18,24.759999999999998,39.019999999999996,135.05100000000002,133.22000000000003,110.34000000000002,4.41,18.98,21.11,152.84,55.0,38.81999999999999,42.12,10.81,7.02,,58.045,19.79,108.575,25.435,246.66,,9.24,32.94,44.080000000000005,87.04,37.72,13.024999999999999,21.69,16.085,132.75,15.3,10.575,79.285,62.01,38.15,33.085,9.945,17.15,20.7,22.994999999999997,89.86500000000001,8.33,9.75,19.95,35.86,,,11.16,,52156,6.209,50.563
4.68,6.12,19.948,,119.6,,29.555,36.98,10.08,22.740000000000002,8.5,74.84,17.165,32.43,,648.0,4.8,13.94,,,6.29,6539.125,15.030000000000001,,,6.59,17.25,5.6,,,29.599999999999998,129.35999999999999,14.059999999999999,17.145,17.12,,,28.32,,7.02,,7.5600000000000005,5.18,22.409999999999997,,48.239999999999995,,28.5,17.45,4.995,,8.385,,30.9,2.87,,8.475,,71.985,25.765,4.44,10.68,,,8.8,7.74,7.92,52222,6.215,50.784
,18.72,13.8,6.58,3.895,,36.04,13.01,,,49.715,5.17,2.16,34.64,61.185,9.12,36.765,5.1,65.42999999999999,7.1,21.18,13.27,5.39,,4.68,7.2,54.779999999999994,,7.38,,15.94,9.62,,14.3,13.649999999999999,4.9,17.25,5.3,11.25,7.0,99.0,5.52,,6.08,,5.75,,,5.5,30.645000000000003,3.33,118.6,29.24,,12.75,10.8,4.59,,13.545000000000002,27.31,,,40.019999999999996,,,,6.02,52223,6.218,50.746
1.8,31.18,62.535,74.895,16.75,21.41,,367.5999999999999,208.78000000000003,12.615,162.48000000000002,51.985,83.615,116.55,165.29,31.220000000000002,17.7,7.435,6.0,4.7,131.5,206.72500000000005,41.739999999999995,12.255,3.06,18.72,286.0,12.24,30.79,133.14,16.59,73.01,263.33,109.81200000000001,47.73,43.879999999999995,43.575,58.35,7.92,10.579999999999998,1003.4799999999999,72.05999999999999,,31.159999999999997,24.475,14.36,25.580000000000002,14.3,13.01,144.04500000000002,89.88000000000001,34.78,61.99,47.865,44.279999999999994,31.31,22.15,6.75,94.185,40.5,,22.009999999999998,29.645000000000003,14.025,11.68,6.48,,52249,6.27,50.828
